"""<strong>ID
</strong>""","""<strong>經節
Verse</strong>""","""<strong>錄音
Audio</strong>""","""<strong>經卷
Book</strong>"""
1G34tUXlHhdqwXhDH9esIrwr17_gnSDDTxC-ZXFq8s_Q,撒母耳记下 (1-2章),"<a href=""https://docs.google.com/document/d/1G34tUXlHhdqwXhDH9esIrwr17_gnSDDTxC-ZXFq8s_Q/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1d27inCNr4FYrmyEmry8lVl087WrHwaLa780m1OPIb7o,23:1-7,"<a href=""https://docs.google.com/document/d/1d27inCNr4FYrmyEmry8lVl087WrHwaLa780m1OPIb7o/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1q8-H6hHTgJgRQb9MB7a969fM9iWfgbPqdgFlKD9L22U,22,"<a href=""https://docs.google.com/document/d/1q8-H6hHTgJgRQb9MB7a969fM9iWfgbPqdgFlKD9L22U/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1yM2OIVOAkyQIfEn74JZE-JDVzusuYmuuzK6epFHuXNU,21:15-22 ,"<a href=""https://docs.google.com/document/d/1yM2OIVOAkyQIfEn74JZE-JDVzusuYmuuzK6epFHuXNU/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1cV8sCKBzxkhMIh9NANLmXDbj4ZjvVm6VKqt9QY_rwQw,20:10-26,"<a href=""https://docs.google.com/document/d/1cV8sCKBzxkhMIh9NANLmXDbj4ZjvVm6VKqt9QY_rwQw/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1e1Ua1hZqBqCt5Btb_nCgsRjjCdrAPnAOTI18KntjjoI,18:01-18,"<a href=""https://docs.google.com/document/d/1e1Ua1hZqBqCt5Btb_nCgsRjjCdrAPnAOTI18KntjjoI/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1UFdkfM9yGHbDzUMm2WGh5oV3cYBx_ekGUjGh1Fu0gDo,17:15-29,"<a href=""https://docs.google.com/document/d/1UFdkfM9yGHbDzUMm2WGh5oV3cYBx_ekGUjGh1Fu0gDo/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1aUFtACkOZO9pDxFAIUKo82VH8NOqMVbQFLubDFsR6dM,17:01-14,"<a href=""https://docs.google.com/document/d/1aUFtACkOZO9pDxFAIUKo82VH8NOqMVbQFLubDFsR6dM/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1Ayv0qTBXnymCNnz7T8O9MDZb_zVDUqsf9LCgccBrsOU,16:15-23,"<a href=""https://docs.google.com/document/d/1Ayv0qTBXnymCNnz7T8O9MDZb_zVDUqsf9LCgccBrsOU/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1A5mylrgCfzHcMhB6VuI8HquK9Rgt62p4LQtoPbZgQsA,16:01-14,"<a href=""https://docs.google.com/document/d/1A5mylrgCfzHcMhB6VuI8HquK9Rgt62p4LQtoPbZgQsA/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1AWOaBwCNM1TwAJUy5OxTUdcsJugpYgFRKPd945qCv7k,15:13-37,"<a href=""https://docs.google.com/document/d/1AWOaBwCNM1TwAJUy5OxTUdcsJugpYgFRKPd945qCv7k/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1U4G-CtKrA4TUlbbJ1lopUJ0PFXIJsC80UpNjQNfS8RQ,08:01-04,"<a href=""https://docs.google.com/document/d/1U4G-CtKrA4TUlbbJ1lopUJ0PFXIJsC80UpNjQNfS8RQ/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1qL_-1Xo7Tztq-HXzmQydpDvxD3kHC0tU3ARt8Tri4GA,02:01-11 ,"<a href=""https://docs.google.com/document/d/1qL_-1Xo7Tztq-HXzmQydpDvxD3kHC0tU3ARt8Tri4GA/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1Q101uE6nsh6wC-lZHJ8C_YXfirYBVURl2x1MtUmm8CQ,03:01-11,"<a href=""https://docs.google.com/document/d/1Q101uE6nsh6wC-lZHJ8C_YXfirYBVURl2x1MtUmm8CQ/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
13TlUDgibGSa8gQ4hLa1XySOqbTeSfE6OcSO2xK-ysSM,05:06-10,"<a href=""https://docs.google.com/document/d/13TlUDgibGSa8gQ4hLa1XySOqbTeSfE6OcSO2xK-ysSM/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1RuEGFJ6ZH8GHHRJt7A5lH2Gk8DFhlIhHeRvJV3JjZAA,04:01-12,"<a href=""https://docs.google.com/document/d/1RuEGFJ6ZH8GHHRJt7A5lH2Gk8DFhlIhHeRvJV3JjZAA/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1B2vpkN0HaQU4580_fT98u27zyhFq1tXU0nukZb4q4ys,05:01-05,"<a href=""https://docs.google.com/document/d/1B2vpkN0HaQU4580_fT98u27zyhFq1tXU0nukZb4q4ys/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
16LpuBQyYsSCCrG4_KCG-foQ_f4_iTKQ8VIcU2WqFF6Y,23:08-38,"<a href=""https://docs.google.com/document/d/16LpuBQyYsSCCrG4_KCG-foQ_f4_iTKQ8VIcU2WqFF6Y/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1FdV8X2rZyZkY3Luu2DRWG3u754y-bPxnUC21JDVqeqE,23:01-07,"<a href=""https://docs.google.com/document/d/1FdV8X2rZyZkY3Luu2DRWG3u754y-bPxnUC21JDVqeqE/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1TjNuSpN-mhmO9K23FaRoaj9-lLqJCmEr_Ubl_g1IosM,13:01-19,"<a href=""https://docs.google.com/document/d/1TjNuSpN-mhmO9K23FaRoaj9-lLqJCmEr_Ubl_g1IosM/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1NmAPGFoxb6U68QfzOq0CljnjDhnlWS7m1yZ-rOLTRGU,24,"<a href=""https://docs.google.com/document/d/1NmAPGFoxb6U68QfzOq0CljnjDhnlWS7m1yZ-rOLTRGU/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1r-zrW7jz7V6rnDq04odNyT9E9FIKZ8gbNcpvF76mXR8,14:25-33,"<a href=""https://docs.google.com/document/d/1r-zrW7jz7V6rnDq04odNyT9E9FIKZ8gbNcpvF76mXR8/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1f3s0sOgEcJAQ4yIKYNz4t2Fm-gen2zHRXtZy-WrBsfE,12:16-23,"<a href=""https://docs.google.com/document/d/1f3s0sOgEcJAQ4yIKYNz4t2Fm-gen2zHRXtZy-WrBsfE/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1FvwIgfDb8C2aUgfzZ9Xk0HrlilJMSc0TUtb_1KAe870,12:07-09,"<a href=""https://docs.google.com/document/d/1FvwIgfDb8C2aUgfzZ9Xk0HrlilJMSc0TUtb_1KAe870/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1-xMyuvYz4Tr7pDCelU3PKGookMErpobilaSwqc0pjug,12:10-15,"<a href=""https://docs.google.com/document/d/1-xMyuvYz4Tr7pDCelU3PKGookMErpobilaSwqc0pjug/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1MZteHe_ZCNEj05gknx7m2igXpR_SfTf_0yfGWAGdXa8,11:01-05,"<a href=""https://docs.google.com/document/d/1MZteHe_ZCNEj05gknx7m2igXpR_SfTf_0yfGWAGdXa8/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1C1zlvDZOlWaIWa-N6aRS-WE0krL2XQhpJJSa8II7F8w,11:06-13,"<a href=""https://docs.google.com/document/d/1C1zlvDZOlWaIWa-N6aRS-WE0krL2XQhpJJSa8II7F8w/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1RO1L0sanSMTbCgil-fK3eZwJSUwItiYS2GJ3umH0YIY,11:14-27,"<a href=""https://docs.google.com/document/d/1RO1L0sanSMTbCgil-fK3eZwJSUwItiYS2GJ3umH0YIY/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1ts1O9Pg38e7F39GSY_ms0Y-LFa9mFf_oLcwslFIi8EI,07:12-17 ,"<a href=""https://docs.google.com/document/d/1ts1O9Pg38e7F39GSY_ms0Y-LFa9mFf_oLcwslFIi8EI/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1H8Hzr6lx5x8_tF3o25yh2sWa8PBljhdfGfVaHRjcKh4,07:08-11,"<a href=""https://docs.google.com/document/d/1H8Hzr6lx5x8_tF3o25yh2sWa8PBljhdfGfVaHRjcKh4/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1t_KpGWwJgJn3hMzloBJfQyTM5wniTNme5dUIiyjjn54,06:01-8,"<a href=""https://docs.google.com/document/d/1t_KpGWwJgJn3hMzloBJfQyTM5wniTNme5dUIiyjjn54/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1uBDUvoeBl4wTfGjtVWmMhiCSVre16Om4AfuOeSWlwOc,05:17-21,"<a href=""https://docs.google.com/document/d/1uBDUvoeBl4wTfGjtVWmMhiCSVre16Om4AfuOeSWlwOc/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1XO1BOjcwRMvTEDI3M9Oufi5p5Tc-Q7JHOPzhacDyPOw,05:22-25,"<a href=""https://docs.google.com/document/d/1XO1BOjcwRMvTEDI3M9Oufi5p5Tc-Q7JHOPzhacDyPOw/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1_6QGwRj-7RtKxeFclYBFwncWxk3fSa-Y_lNZijluHKg,07:01-7,"<a href=""https://docs.google.com/document/d/1_6QGwRj-7RtKxeFclYBFwncWxk3fSa-Y_lNZijluHKg/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1zKrY1GST_nDZ8lR8g_4JllGHiEhqSzFNl1djkoJ_yMs,06:09-15,"<a href=""https://docs.google.com/document/d/1zKrY1GST_nDZ8lR8g_4JllGHiEhqSzFNl1djkoJ_yMs/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1wE9rKOd4cLkuyh_iHus7xtTiS6UkCrWoQ2T36wTsF4c,06:16-23,"<a href=""https://docs.google.com/document/d/1wE9rKOd4cLkuyh_iHus7xtTiS6UkCrWoQ2T36wTsF4c/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1qVIC2KkYZxJpzKrn6dxVa_xRAky6JbO57evYlyJUnqk,07:18-29,"<a href=""https://docs.google.com/document/d/1qVIC2KkYZxJpzKrn6dxVa_xRAky6JbO57evYlyJUnqk/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1gPdcIKTrOzur9HEdAl5pHK2HmFoVJCJVjXxRiH3wNSU,08:15-18,"<a href=""https://docs.google.com/document/d/1gPdcIKTrOzur9HEdAl5pHK2HmFoVJCJVjXxRiH3wNSU/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1PIdByihudolEzXDaHKPcLZHUBnL1ZpJFOJledyObSOk,05:11-16,"<a href=""https://docs.google.com/document/d/1PIdByihudolEzXDaHKPcLZHUBnL1ZpJFOJledyObSOk/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1hEzo3N9nek7P48wZO1nh2vzdOmE4yFywhiaPIA4Bxnw,08:5-14,"<a href=""https://docs.google.com/document/d/1hEzo3N9nek7P48wZO1nh2vzdOmE4yFywhiaPIA4Bxnw/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
18xMh7-VdmyXhXZAKmO4A9sCw3HbJCCfE-s9iOjOIfMw,09:1-5,"<a href=""https://docs.google.com/document/d/18xMh7-VdmyXhXZAKmO4A9sCw3HbJCCfE-s9iOjOIfMw/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
137GlMWEvaS3wheEDrB6JlyIorX7Smj9PiHuoeU0SWts,09:6-8,"<a href=""https://docs.google.com/document/d/137GlMWEvaS3wheEDrB6JlyIorX7Smj9PiHuoeU0SWts/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
17jw_DLe54WEK2Bd8-VAPTnj7lD2otCfCJupN6evaINY,03:31-39,"<a href=""https://docs.google.com/document/d/17jw_DLe54WEK2Bd8-VAPTnj7lD2otCfCJupN6evaINY/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1sSMvHXmvotW6ZrKPWtSsgsvb-s8L-75T1ALnonvLSGI,03:22-30,"<a href=""https://docs.google.com/document/d/1sSMvHXmvotW6ZrKPWtSsgsvb-s8L-75T1ALnonvLSGI/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
14mqrtdejLOj7BZiUjZJYuCKcQXu-A3MvJpkR7v4Njj4,03:12-21,"<a href=""https://docs.google.com/document/d/14mqrtdejLOj7BZiUjZJYuCKcQXu-A3MvJpkR7v4Njj4/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1ul65Cz7hmkFaMdpA_RVtwgazU-SPPJ2TZCjUvd1wM8Q,02:12-32,"<a href=""https://docs.google.com/document/d/1ul65Cz7hmkFaMdpA_RVtwgazU-SPPJ2TZCjUvd1wM8Q/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1rgBYDfQ1BEnyi8pBwYjzlZ1WmNuunyeEhMxBn-Gbc_4,01:17-27,"<a href=""https://docs.google.com/document/d/1rgBYDfQ1BEnyi8pBwYjzlZ1WmNuunyeEhMxBn-Gbc_4/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1XFHlRM1EYhMgZooiOvRfXYRXN0WCcOQEEAZfLzTqLpA,01:1-16,"<a href=""https://docs.google.com/document/d/1XFHlRM1EYhMgZooiOvRfXYRXN0WCcOQEEAZfLzTqLpA/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
18e4VGL9i_KH8cwNs5U3FJLFnRdSiBhgeN9vY0SLGOpI,10:1-5,"<a href=""https://docs.google.com/document/d/18e4VGL9i_KH8cwNs5U3FJLFnRdSiBhgeN9vY0SLGOpI/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
1sJ_VXscgmp90zC_jd7DkyO7N7e0JUvevSR303CKxx4g, 09:9-13,"<a href=""https://docs.google.com/document/d/1sJ_VXscgmp90zC_jd7DkyO7N7e0JUvevSR303CKxx4g/edit?usp=drivesdk"">GoogleDrive</a>",撒母耳記下 Samuel 2
18OvOlecbaYjKni6oMF_4IMqYt4iBi7gj,列王记上第20章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/18OvOlecbaYjKni6oMF_4IMqYt4iBi7gj/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1PvjAHNu_-2Vvzjw0_G2aTaKqQF9L5kYR,列王记上第19章19-21 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1PvjAHNu_-2Vvzjw0_G2aTaKqQF9L5kYR/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1vBt8S8-BNSuNMoVZe83SnpepRT3t702i,列王记上第19章1-18 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1vBt8S8-BNSuNMoVZe83SnpepRT3t702i/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1rKrygp1n63KvldKXlh1_dg0Hzy8O19j_,列王记上第18章41-46 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1rKrygp1n63KvldKXlh1_dg0Hzy8O19j_/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1EmgqDZDvTstoaJukwMCkOfugI87agg_u,列王记上第18章1-40 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1EmgqDZDvTstoaJukwMCkOfugI87agg_u/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1bvE3NwmL8HzG9cFJaABD06pHg_c0mf6u,列王记上第17章17-24 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1bvE3NwmL8HzG9cFJaABD06pHg_c0mf6u/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1WJHY8muCLjvAVuEwmC5M_B-dB3BxKw7-,列王记上第17章2-16 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1WJHY8muCLjvAVuEwmC5M_B-dB3BxKw7-/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1f3yXBtytDpuU4lwYzH3cdJ33epzI47zs,列王记上第15章24 -第16章7 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1f3yXBtytDpuU4lwYzH3cdJ33epzI47zs/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
16No0-MaAcyg80-wUmVzJxuZLBzvb3WMl,列王记上第16章29 - 第17章1 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/16No0-MaAcyg80-wUmVzJxuZLBzvb3WMl/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
17vKgqsunnX50AzzyyfCwQZdqXbGpuM1y,列王记上第14章21-第15章24 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/17vKgqsunnX50AzzyyfCwQZdqXbGpuM1y/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1R1_jXuLxvXVvn8sCJ2ruG3FpdUVuUhHZ,列王记上第14章1-20 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1R1_jXuLxvXVvn8sCJ2ruG3FpdUVuUhHZ/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1aua-d3fC4kWN2s3juzUy5OzjEU8fJm9D,列王记上第13章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1aua-d3fC4kWN2s3juzUy5OzjEU8fJm9D/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1IPoHXI29Jk-EXtWU8ujwLCqblda0nO4N,列王记上第12章25-33 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1IPoHXI29Jk-EXtWU8ujwLCqblda0nO4N/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1onEAjqkRgDPzVNwcW9xawq6sYs2jCksF,列王记上第12章1-24 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1onEAjqkRgDPzVNwcW9xawq6sYs2jCksF/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1oMolaXhiOwWpXPujIHz9CKRDX0Y66HM3,列王记上第7章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1oMolaXhiOwWpXPujIHz9CKRDX0Y66HM3/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1IuZT5lNaYzQh2GafN-kSpxbqlWNHFJLi,列王记上第11章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1IuZT5lNaYzQh2GafN-kSpxbqlWNHFJLi/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1bSw_Fafjuj-3-6PKuo5veHlyGybNisko,列王记上第10章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1bSw_Fafjuj-3-6PKuo5veHlyGybNisko/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1ojZ7HK9EGWbTebf8738vLEnlYoGbldHh,列王记上第9章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1ojZ7HK9EGWbTebf8738vLEnlYoGbldHh/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1SPmre6yY0IdB4_G9t-Upna0xdEqMk_pa,列王记上第8章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1SPmre6yY0IdB4_G9t-Upna0xdEqMk_pa/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
19c9hSNXJLn11IYK-RnLJs4ycmvoJoIZF,列王记上第6章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/19c9hSNXJLn11IYK-RnLJs4ycmvoJoIZF/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1ORB3vr-i6QkH0g1yzHMG_RKpg2IlHXVh,列王记上第5章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1ORB3vr-i6QkH0g1yzHMG_RKpg2IlHXVh/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
14I4wfB9UcUg80Ii575XGdvSlCvsVTIac,列王记上第4章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/14I4wfB9UcUg80Ii575XGdvSlCvsVTIac/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
